Title,Location,Date Published,Submission Deadline,Resource ID,Info,Procedure,Status,Notice PDF,Award Date,Estimated Value,Cycle
"Rostering, Time and Attendance Management System",BCM Business Cost Management Limited_85346,24/10/2024 08:22:04,30/11/2024 17:00:00,4548146,"The BOCSI wishes to select, procure and implement an integrated Rostering and Time and Attendance software system to achieve the following objectives.: • Creation of digital staff rosters to automate the scheduling of employee time. • Decentralisation of timesheet input, moving to individual employee input. • Tracking employee attendance accurately, including the recording of times. • Streamline approval process for leave requests and shift changes. • Generate real-time reports for management analysis. • Enhancing compliance with European Working Time Directive. The following features are not required: • Employee salary and costing information. • HR data and functionality other than employee contract data as specified. • Expenses and Travel information. • Annual Leave Calculation.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4548146,,"400,000.00",1
DPS for Supply of Materials for the Conservation Archiving Transport and Storage of Museum Collections 2024 - 2031,National Museum of Ireland,24/10/2024 08:22:01,,4546463,"The Contracting Authority is setting up a panel or DPS of suppliers to supply materials needs for the conservation, archiving, transport and storage of museum collections. The Contracting Authority do not expect any one supplier to be able to provide the full range of materials needed for this, and hope to reflect the diverse needs of museum, library and archive collections through a DPS of suppliers with various skills and specialities. On this DPS, the Contracting Authority invites suppliers who offers a wide range of packing, wrapping, storage, stabilisation and transport materials to conservation and archival standard. This material is for all aspects of museum collections care and management, include all object, artefact, specimen, archive and library collections.",Dynamic Purchasing System,Established,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4546463,,"425,000.00",1
The Supply and Delivery of Electrical Consumables to Galway and Roscommon Education and Training Board - Two (2) Lots,Galway Roscommon Education and Training Board_92189,24/10/2024 08:21:29,28/11/2024 12:00:00,4546142,The Supply and Delivery of Electrical Consumables to Galway and Roscommon Education and Training Board - Two (2) Lots: Lot 1 Electrical Consumables Lot 2 Cables,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4546142,,"1,500,000.00",1
"CFT 3715 – Construction of Design and Build Housing Development comprised of 27 Age-Friendly homes, shared facilities room and all site and development works at Deansrath, Clondalkin, Dublin 22",South Dublin County Council,24/10/2024 08:21:09,26/11/2024 16:00:00,4547305,"Design and Build Housing Development comprised of 27 Age-Friendly homes, shared facilities room, associated open spaces and all site and development works necessary to facilitate the proposed development on lands in the ownership of South Dublin County Council, bounded by Deansrath Green, Melrose Green and Melrose Avenue, Clondalkin, and St Cuthberts Park, Dublin 22",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4547305,,"9,500,000.00",1
Storage Solutions for Museum Collections,National Museum of Ireland,24/10/2024 08:20:32,20/11/2024 12:00:00,4547802,"NMI seeks up to two specialist storage infrastructure suppliers to support its ongoing need for collection storage. Suppliers will be required to offer a wide range of storage solutions such as shelving, racking, cabinets, drawers and other options to meet NMI’s storage requirements. Additionally, as experts in storage, suppliers may be asked to conduct risk assessments prioritising the safety of collections and propose cost-effective storage solutions based on the range and diversity of their available stock, as outlined in the company catalogue or online via the company website or rarely, bespoke options. The storage solutions sought include but aren’t limited to cabinets, airtight display cabinets, cantilever shelving, mezzanine shelving, manual mobile racking, electronic mobile racking, vertical storage for flat art such as paintings, mobile rolled storage for the likes of tapestries, double height shelving, plan chests and bespoke storage solutions based on the needs of the object(s) being stored and NMI’s specifications.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4547802,,"8,000,000.00",1
SCC2024/081 Collooney to Castlebaldwin Road Project Landscaping Contract,Sligo County Council,23/10/2024 17:04:45,25/11/2024 12:00:00,4555454,"The N4 Collooney to Castlebaldwin Road Project – landscaping scheme consists of doing the maintenance of the existing landscaping completed by the previous contractor, finishing the areas the contractor left incomplete, rectifying the defects and do a regular maintenance for 3 years following completion. The works are primarily focused on side roads, areas adjacent to the N4 mainline, and on landowners land where agreed.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4555454,,,1
Advanced Universal Verification Methodology Training Courses,MIDAS Electronic Systems Skillnet,23/10/2024 16:56:06,30/10/2024 17:00:00,4553553,Advanced Universal Verification Methodology Training Courses for integrated circuit verification engineers,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4553553,,,1
"EWG2024 - Roof Works - St Brendan's, Belmullett",Mayo Sligo and Leitrim ETB,23/10/2024 16:43:44,15/11/2024 16:00:00,4541712,"The project consists of the replacement of the existing roof finishes, cappings, flashings, rainwater goods, etc. including all associated works to the Gym Roof (Roof No. 1) and the Technical Room Roof (Roof. No. 3) at St. Brendan's College, Belmullet, Co. Mayo. The project involves working on a live school site with resulting requirements for the Works Contractor to fully comply with Health and Safety, etc.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4541712,,"500,000.00",1
Universal Verification Methodology Introduction Training Courses,MIDAS Electronic Systems Skillnet,23/10/2024 16:43:34,30/10/2024 17:00:00,4551351,Universal Verification Methodology Introduction Training Courses for integrated circuit verification engineers,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4551351,,,1
St Ita's and St. Mary's Special Schools - Electrical Reserved Specialist,Department of Education,23/10/2024 15:42:15,26/11/2024 12:00:00,4550381,"A new school building for St. Ita’s and St Mary’s Special Schools, provided in a part single, two and three-storey building arranged as 2 linked blocks, including upgraded access road to be constructed for shared use with the adjacent Pitch and Putt club. The proposed building will contain 20 no. classrooms for St. Ita’s, 17 no. classrooms for St. Mary’s, associated clinician and educational support rooms, external rooftop play areas, hydrotherapy pool and all ancillary spaces with total floor area of circa 9586 sqm. Proposed site works to include the construction of new hard and soft play areas, Multi Use Games Area and multisensory gardens, together with all associated paths and paving, 145 no. car-parking spaces, 8 no. covered minibus set-down bays and a further 12 no. queuing spaces, together with boundary treatments, 20 no. bicycle stands, ancillary infrastructure works, ESB sub-station landscaping and a stormwater connection including upgrade works to the existing drainage network located in the public road and footpath in Riverview.",Restricted,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4550381,,"3,600,000.00",1
